Bundling 6%
Bundling 12%
Bundling 29%
Bundling 43%
Bundling 58%
Bundling 65%
Bundling 71%
Bundling 76%
Bundling 81%
Bundling 86%
Bundling 91%
Bundling 98%
Bundling 100%
Getting composition
[90mComposition          Film[39m
[90mCodec                h264[39m
[90mOutput               out/dense2.mp4[39m
[90mConcurrency          2x[39m
Rendered 0/450
Rendered 1/450, time remaining: 10m 2s
Rendered 328/450, time remaining: 13s
Rendered 329/450, time remaining: 13s
Rendered 330/450, time remaining: 13s
Rendered 330/450, time remaining: 13s
Rendered 331/450, time remaining: 13s
Rendered 332/450, time remaining: 12s
Rendered 333/450, time remaining: 12s
Rendered 334/450, time remaining: 12s
Rendered 335/450, time remaining: 12s
Rendered 336/450, time remaining: 12s
Rendered 336/450, time remaining: 12s
Rendered 337/450, time remaining: 12s
Rendered 338/450, time remaining: 12s
Rendered 339/450, time remaining: 12s
Rendered 340/450, time remaining: 12s
Rendered 340/450, time remaining: 12s
Rendered 341/450, time remaining: 12s
Rendered 342/450, time remaining: 12s
Rendered 343/450, time remaining: 12s
Rendered 344/450, time remaining: 11s
Rendered 344/450, time remaining: 11s
Rendered 345/450, time remaining: 11s
Rendered 346/450, time remaining: 12s
Rendered 346/450, time remaining: 12s
Rendered 347/450, time remaining: 12s
Rendered 348/450, time remaining: 11s
Rendered 349/450, time remaining: 11s
Rendered 350/450, time remaining: 11s
Rendered 350/450, time remaining: 11s
Rendered 351/450, time remaining: 11s
Rendered 352/450, time remaining: 11s
Rendered 353/450, time remaining: 11s
Rendered 354/450, time remaining: 11s
Rendered 355/450, time remaining: 11s
Rendered 356/450, time remaining: 11s
Rendered 356/450, time remaining: 11s
Rendered 357/450, time remaining: 11s
Rendered 358/450, time remaining: 10s
Rendered 359/450, time remaining: 10s
Rendered 360/450, time remaining: 10s
Rendered 361/450, time remaining: 9s
Rendered 362/450, time remaining: 9s
Rendered 362/450, time remaining: 9s
Rendered 363/450, time remaining: 9s
Rendered 364/450, time remaining: 9s
Rendered 365/450, time remaining: 8s
Rendered 366/450, time remaining: 8s
Rendered 367/450, time remaining: 8s
Rendered 368/450, time remaining: 8s
Rendered 368/450, time remaining: 8s
Rendered 369/450, time remaining: 8s
Rendered 370/450, time remaining: 8s
Rendered 371/450, time remaining: 8s
Rendered 372/450, time remaining: 7s
Rendered 373/450, time remaining: 7s
Rendered 374/450, time remaining: 7s
Rendered 374/450, time remaining: 7s
Rendered 375/450, time remaining: 7s
Rendered 376/450, time remaining: 7s
Rendered 377/450, time remaining: 7s
Rendered 378/450, time remaining: 7s
Rendered 379/450, time remaining: 7s
Rendered 380/450, time remaining: 6s
Rendered 380/450, time remaining: 6s
Rendered 381/450, time remaining: 6s
Rendered 382/450, time remaining: 6s
Rendered 383/450, time remaining: 6s
Rendered 384/450, time remaining: 6s
Rendered 385/450, time remaining: 6s
Rendered 386/450, time remaining: 6s
Rendered 387/450, time remaining: 6s
Rendered 388/450, time remaining: 5s
Rendered 388/450, time remaining: 5s
Rendered 389/450, time remaining: 5s
Rendered 390/450, time remaining: 5s
Rendered 391/450, time remaining: 5s
Rendered 392/450, time remaining: 5s
Rendered 393/450, time remaining: 5s
Rendered 394/450, time remaining: 5s
Rendered 395/450, time remaining: 5s
Rendered 395/450, time remaining: 5s
Rendered 396/450, time remaining: 5s
Rendered 397/450, time remaining: 5s
Rendered 398/450, time remaining: 4s
Rendered 399/450, time remaining: 4s
Rendered 400/450, time remaining: 4s
Rendered 401/450, time remaining: 4s
Rendered 402/450, time remaining: 4s
Rendered 402/450, time remaining: 4s
Rendered 403/450, time remaining: 4s
Rendered 404/450, time remaining: 4s
Rendered 405/450, time remaining: 4s
Rendered 406/450, time remaining: 4s
Rendered 406/450, time remaining: 4s
Rendered 407/450, time remaining: 4s
Rendered 408/450, time remaining: 4s
Rendered 409/450, time remaining: 3s
Rendered 410/450, time remaining: 3s
Rendered 411/450, time remaining: 3s
Rendered 412/450, time remaining: 3s
Rendered 412/450, time remaining: 3s
Rendered 413/450, time remaining: 3s
Rendered 414/450, time remaining: 3s
Rendered 415/450, time remaining: 3s
Rendered 416/450, time remaining: 3s
Rendered 417/450, time remaining: 3s
Rendered 418/450, time remaining: 3s
Rendered 418/450, time remaining: 3s
Rendered 419/450, time remaining: 2s
Rendered 420/450, time remaining: 2s
Rendered 421/450, time remaining: 2s
Rendered 422/450, time remaining: 2s
Rendered 423/450, time remaining: 2s
Rendered 424/450, time remaining: 2s
Rendered 425/450, time remaining: 2s
Rendered 426/450, time remaining: 2s
Rendered 426/450, time remaining: 2s
Rendered 427/450, time remaining: 2s
Rendered 428/450, time remaining: 2s
Rendered 429/450, time remaining: 1s
Rendered 430/450, time remaining: 1s
Rendered 431/450, time remaining: 1s
Rendered 432/450, time remaining: 1s
Rendered 432/450, time remaining: 1s
Rendered 433/450, time remaining: 1s
Rendered 434/450, time remaining: 1s
Rendered 435/450, time remaining: 1s
Rendered 436/450, time remaining: 1s
Rendered 437/450, time remaining: 1s
Rendered 437/450, time remaining: 1s
Rendered 438/450, time remaining: 1s
Rendered 439/450, time remaining: 1s
Rendered 440/450, time remaining: 0s
Rendered 441/450, time remaining: 0s
Rendered 442/450, time remaining: 0s
Rendered 443/450, time remaining: 0s
Rendered 443/450, time remaining: 0s
Rendered 444/450, time remaining: 0s
Rendered 445/450, time remaining: 0s
Rendered 446/450, time remaining: 0s
Rendered 447/450, time remaining: 0s
Rendered 448/450, time remaining: 0s
Rendered 448/450, time remaining: 0s
Rendered 449/450, time remaining: 0s
Encoded 318/450
Encoded 326/450
Encoded 338/450
Encoded 352/450
Encoded 360/450
Encoded 450/450
[34m+                    out/dense2.mp4[39m [90m15.5 MB[39m
